ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
118,1068266,Active,110901,2 HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,Dyckman Street,S,Sherman Avenue,Nagle Avenue,40.86201533,-73.92512889,1004959.867,253341.8844,POINT (-73.925128894797 40.862015330235)
2560,4173021,Active,465677,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,63 Drive,E,Booth Street,Saunders Street,40.72904922,-73.86292483,1022241.739,204918.581,POINT (-73.862924833693 40.729049224852)
12927,4383126,Active,447761,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,150 Place,E,Cross Island Pkwy.,14 Road,40.78763847,-73.81198009,1036315.741,226290.7105,POINT (-73.811980093915 40.787638473891)
9268,1413022,Active,104936,3HR Com Mon-Sat 0700-1900,,On Street,Manhattan,7 Avenue,E,West 14 Street,West 13 Street,40.73798852,-73.99997204,984257.749,208145.7212,POINT (-73.999972037712 40.737988519893)
6782,2093058,Active,207555,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,Williamsbridge Road,E,Neil Avenue,Lydig Avenue,40.85483462,-73.85477792,1024423.759,250750.1268,POINT (-73.854777920499 40.854834624346)
6052,3569917,Active,317373,6HR Pas Mon-Fri 0800-1700,,On Street,Brooklyn,Campus Road,S,Campus Road,Bedford Avenue,40.63238858,-73.95008012,998105.8624,169676.5354,POINT (-73.950080120863 40.632388575121)
6791,3513007,Active,304929,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,20 Avenue,E,Bay Ridge Avenue,68 Street,40.61445692,-73.98791398,987605.5215,163139.8411,POINT (-73.987913980526 40.61445691786)
10845,1433145,Active,102147,3HR Com Mon-Fri 1000-1600 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,,On Street,Manhattan,7 Avenue,W,West 49 Street,West 48 Street,40.76021977,-73.98402161,988676.499,216245.6857,POINT (-73.984021610592 40.760219773119)
10775,1433062,Retired,105077,3HR Com Mon-Fri 0700-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,,On Street,Manhattan,West 52 Street,S,6 Avenue,5 Avenue,40.76066739,-73.97849635,990207.1246,216409.0964,POINT (-73.978496347602 40.760667394918)
8430,1473090,Active,102349,3HR Com Mon-Fri 0800-1800 /2HR Pas Sat 0800-1800,,On Street,Manhattan,Bond Street,N,Great Jones Alley,Lafayette Street,40.72689941,-73.99452352,985767.91,204105.6594,POINT (-73.994523520704 40.726899412015)
12948,4493123,Active,404347,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,63 Avenue,S,84 Place,Woodhaven Boulevard,40.72422583,-73.86961447,1020390.257,203158.4389,POINT (-73.869614469082 40.724225826839)
11687,1083056,Active,109564,2HR Pas Mon-Sat 0830-2200,,On Street,Manhattan,Broadway,W,West 77 Street,West 76 Street,40.78223093,-73.98108945,989487.0646,224265.2467,POINT (-73.981089452276 40.782230932554)
11447,1033022,Active,114352,2HR Com Mon-Sat 0700-1300 /2HR Pas Mon-Sat 1300-2200,,On Street,Manhattan,Amsterdam Avenue,E,West 80 Street,West 81 Street,40.78408023,-73.9775231,990474.5541,224939.2418,POINT (-73.977523096278 40.784080229426)
